par_code,state,ge14_constituency,mp_name,may_2018_camp,may_2018_party,may_2018_note,june_2018_camp,june_2018_party,june_2018_note,july_2018_camp,july_2018_party,july_2018_note,aug_2018_camp,aug_2018_party,aug_2018_note,sept_2018_camp,sept_2018_party,sept_2018_note,oct_2018_camp,oct_2018_party,oct_2018_note,nov_2018_camp,nov_2018_party,nov_2018_note,dec_2018_camp,dec_2018_party,dec_2018_note
P001,Perlis,Padang Besar,Zahidi Zainul Abidin,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P002,Perlis,Kangar,Noor Amin Ahmad,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P003,Perlis,Arau,Shahidan Kassim,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P004,Kedah,Langkawi,Mahathir Mohammad,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P005,Kedah,Jerlun,Mukhriz Mahathir,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P006,Kedah,Kubang Pasu,Amiruddin Hamzah,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P007,Kedah,Padang Terap,Mahdzir Khalid,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P008,Kedah,Pokok Sena,Mahfuz Omar,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P009,Kedah,Alor Setar,Chan Ming Kai,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P010,Kedah,Kuala Kedah,Azman Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P011,Kedah,Pendang,Awang Hashim,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P012,Kedah,Jerai,Sabri Azit,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P013,Kedah,Sik,Ahmad Tarmizi Sulaiman,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P014,Kedah,Merbok,Nor Azrina Surip,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P015,Kedah,Sungai Petani,Johari Abdul,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P016,Kedah,Baling,Abdul Azeez Abdul Rahim,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P017,Kedah,Padang Serai,Karupaiya Mutusami,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P018,Kedah,Kulim-Bandar Baharu,Saifuddin Nasution Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P019,Kelantan,Tumpat,Che Abdullah Mat Nawi,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P020,Kelantan,Pengkalan Chepa,Ahmad Marzuk Shaary,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P021,Kelantan,Kota Bharu,Takiyuddin Hassan,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P022,Kelantan,Pasir Mas,Ahmad Fadhli Shaari,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P023,Kelantan,Rantau Panjang,Siti Zailah Mohd Yusoff,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P024,Kelantan,Kubang Kerian,Tuan Ibrahim Tuan Man,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P025,Kelantan,Bachok,Nik Mohamad Abduh Nik Abdul Aziz,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P026,Kelantan,Ketereh,Annuar Musa,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P027,Kelantan,Tanah Merah,Ikmal Hisham Abdul Aziz,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P028,Kelantan,Pasir Puteh,Nik Muhd Zawawi Salleh,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P029,Kelantan,Machang,Ahmad Jazlan Yaakub,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P030,Kelantan,Jeli,Mustapa Mohamed ,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,18/09/2018,Harapan,Bersatu,26/10/2018,Harapan,Bersatu,,Harapan,Bersatu,
P031,Kelantan,Kuala Krai,Abdul Latiff Abdul Rahman,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P032,Kelantan,Gua Musang,Tengku Razaleigh Mohd Hamzah,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P033,Terengganu,Besut,Idris Jusoh,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P034,Terengganu,Setiu,Shaharizukirnain Abd Kadir,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P035,Terengganu,Kuala Nerus,Mohd Khairuddin Aman Razali,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P036,Terengganu,Kuala Terengganu,Ahmad Amzad Mohamed,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P037,Terengganu,Marang,Abdul Hadi Awang,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P038,Terengganu,Hulu Terengganu,Rosol Wahid,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P039,Terengganu,Dungun,Wan Hassan Mohd Ramli,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P040,Terengganu,Kemaman,Che Alias Hamid,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P041,Pulau Pinang,Kepala Batas,Reezal Merican Naina Merican,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P042,Pulau Pinang,Tasek Gelugor,Shabudin Yahaya,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P043,Pulau Pinang,Bagan,Lim Guan Eng ,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P044,Pulau Pinang,Permatang Pauh,Nurul Izzah Anwar,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P045,Pulau Pinang,Bukit Mertajam,Sim Chee Keong,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P046,Pulau Pinang,Batu Kawan,Kasthuriraani Patto,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P047,Pulau Pinang,Nibong Tebal,Mansor Othman,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P048,Pulau Pinang,Bukit Bendera,Wong Hon Wai,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P049,Pulau Pinang,Tanjong,Chow Kon Yeow,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P050,Pulau Pinang,Jelutong,Sanisvara Nethaji Rayer Rajaji,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P051,Pulau Pinang,Bukit Gelugor,Ramkarpal Singh Karpal Singh,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P052,Pulau Pinang,Bayan Baru,Sim Tze Tzin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P053,Pulau Pinang,Balik Pulau,Muhammad Bakhtiar Wan Chik,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P054,Perak,Gerik,Hasbullah Osman,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P055,Perak,Lenggong,Shamsul Anuar Nasarah ,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P056,Perak,Larut,Hamzah Zainudin,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P057,Perak,Parit Buntar,Mujahid Yusof Rawa,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P058,Perak,Bagan Serai,Noor Azmi Ghazali,BN,Umno,,Independent,Independent,24/06/2018,Independent,Independent,,Independent,Independent,,Independent,Independent,,Independent,Independent,,Harapan,Bersatu,28/11/2018,Harapan,Bersatu,
P059,Perak,Bukit Gantang,Syed Abu Hussin Hafiz Syed Abu Fasal,BN,Umno,,Independent,Independent,27/06/2018,Independent,Independent,,Independent,Independent,,Independent,Independent,,Independent,Independent,,Independent,Independent,,Independent,Independent,
P060,Perak,Taiping,Teh Kok Lim,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P061,Perak,Padang Rengas,Mohamed Nazri Abdul Aziz,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P062,Perak,Sungai Siput,Kesavan Subramaniam,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P063,Perak,Tambun,Ahmad Faizal Azumu,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P064,Perak,Ipoh Timor,Wong Kah Woh,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P065,Perak,Ipoh Barat,M. Kulasekaran V. Murugeson,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P066,Perak,Batu Gajah,Sivakumar Varatharajy Naidu,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P067,Perak,Kuala Kangsar,Mastura Mohd Yazid,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P068,Perak,Beruas,Ngeh Koo Ham,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P069,Perak,Parit,Mohd Nizar Zakaria ,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P070,Perak,Kampar,Su Keong Siong,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P071,Perak,Gopeng,Lee Boon Chye,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P072,Perak,Tapah,Saravanan Murugan,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,
P073,Perak,Pasir Salak,Tajuddin Abdul Rahman,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P074,Perak,Lumut,Mohd Hatta Md Ramli,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P075,Perak,Bagan Datuk,Ahmad Zahid Hamidi,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P076,Perak,Teluk Intan,Nga Kor Ming,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P077,Perak,Tanjong Malim,Chang Lih Kang,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P078,Pahang,Cameron Highlands,Sivaraj Chandran,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,,BN,MIC,
P079,Pahang,Lipis,Abdul Rahman Mohamad,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P080,Pahang,Raub,Tengku Zulpuri Shah Raja Puji,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P081,Pahang,Jerantut,Ahmad Nazlan Idris,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P082,Pahang,Indera Mahkota,Saifuddin Abdullah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P083,Pahang,Kuantan,Fuziah Salleh,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P084,Pahang,Paya Besar,Mohd Shahar Abdullah,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P085,Pahang,Pekan,Mohd Najib Abd Razak,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P086,Pahang,Maran,Ismail Abd Muttalib,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P087,Pahang,Kuala Krau,Ismail Mohamed Said,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P088,Pahang,Temerloh,Mohd Anuar Mohd Tahir,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P089,Pahang,Bentong,Wong Tack,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P090,Pahang,Bera,Ismail Sabri Yaakob,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P091,Pahang,Rompin,Hasan Arifin,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P092,Selangor,Sabak Bernam,Mohd Fasiah Mohd Fakeh,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P093,Selangor,Sungai Besar,Muslimin Yahaya,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P094,Selangor,Hulu Selangor,Leow Hsiad Hui,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P095,Selangor,Tanjong Karang,Noh Omar,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P096,Selangor,Kuala Selangor,Dzulkefly Ahmad,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P097,Selangor,Selayang,William Leong Jee Keen,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P098,Selangor,Gombak,Mohamed Azmin Ali,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P099,Selangor,Ampang,Zuraida Kamaruddin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P100,Selangor,Pandan,Wan Azizah Wan Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P101,Selangor,Hulu Langat,Hasanuddin Mohd Yunus,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P102,Selangor,Bangi,Ong Kian Ming,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P103,Selangor,Puchong,Gobind Singh Deo,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P104,Selangor,Subang,Wong Chen,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P105,Selangor,Petaling Jaya ,Maria Chin Abdullah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P106,Selangor,Damansara,Tony Pua,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P107,Selangor,Sungai Buloh,Sivarasa Rasiah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P108,Selangor,Shah Alam,Khalid Abd Samad,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P109,Selangor,Kapar,Abdullah Sani Abdul Hamid,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P110,Selangor,Klang,Charles Santiago,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P111,Selangor,Kota Raja,Mohamad Sabu,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
