par_code,state,ge14_constituency,mp_name,may_2018_camp,may_2018_party,may_2018_note,june_2018_camp,june_2018_party,june_2018_note,july_2018_camp,july_2018_party,july_2018_note,aug_2018_camp,aug_2018_party,aug_2018_note,sept_2018_camp,sept_2018_party,sept_2018_note,oct_2018_camp,oct_2018_party,oct_2018_note,nov_2018_camp,nov_2018_party,nov_2018_note,dec_2018_camp,dec_2018_party,dec_2018_note
P112,Selangor,Kuala Langat,Xavier Jayakumar Arulanandam,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P113,Selangor,Sepang,Mohamed Hanipa Maidin,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P114,W.P. Kuala Lumpur,Kepong,Lim Lip Eng,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P115,W.P. Kuala Lumpur,Batu,Prabakaran Parameswaran,Independent,Independent,,Harapan,PKR,13/05/2018,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P116,W.P. Kuala Lumpur,Wangsa Maju,Tan Yee Kew,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P117,W.P. Kuala Lumpur,Segambut,Yeoh Tseow Suan,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P118,W.P. Kuala Lumpur,Setiawangsa,Nik Nazmi Nik Ahmad,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P119,W.P. Kuala Lumpur,Titiwangsa,Rina Mohd Harun,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P120,W.P. Kuala Lumpur,Bukit Bintang,Fong Kui Lun,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P121,W.P. Kuala Lumpur,Lembah Pantai,Ahmad Fahmi Mohamed Fadzil,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P122,W.P. Kuala Lumpur,Seputeh,Teresa Kok Suh Sim,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P123,W.P. Kuala Lumpur,Cheras,Tan Kok Wai,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P124,W.P. Kuala Lumpur,Bandar Tun Razak,Kamarudin Jaafar,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P125,W.P. Putrajaya,Putrajaya,Tengku Adnan Tengku Mansor,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P126,Negeri Sembilan,Jelebu,Jalaluddin Alias,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P127,Negeri Sembilan,Jempol,Mohd Salim Sharif,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P128,Negeri Sembilan,Seremban,Loke Siew Fook,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P129,Negeri Sembilan,Kuala Pilah,Eddin Syazlee Shith,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P130,Negeri Sembilan,Rasah,Cha Kee Chin ,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P131,Negeri Sembilan,Rembau,Khairy Jamaludin Abu Bakar,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P132,Negeri Sembilan,Port Dickson,Danyal Balagopal Abdullah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P133,Negeri Sembilan,Tampin,Hasan Bahrom,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P134,Melaka,Masjid Tanah,Mas Ermieyati Samsudin,BN,Umno,,BN,Umno,,Independent,Independent,01/07/2018,Independent,Independent,,Independent,Independent,,Independent,Independent,,Independent,Independent,,Harapan,Bersatu,
P135,Melaka,Alor Gajah,Mohd Redzuan Md Yusof,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P136,Melaka,Tangga Batu,Rusnah Aluai,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P137,Melaka,Hang Tuah Jaya,Shamsul Iskandar Mohd Akin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P138,Melaka,Kota Melaka,Khoo Poay Tiong,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P139,Melaka,Jasin,Ahmad Hamzah,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P140,Johor,Segamat,Santhara Kumar Ramanaidu,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P141,Johor,Sekijang,Natrah Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P142,Johor,Labis,Pang Hok Liong,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P143,Johor,Pagoh,Muhyiddin Md Yasin,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P144,Johor,Ledang,Syed Ibrahim Syed Nor,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P145,Johor,Bakri,Yeo Bee Yin ,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P146,Johor,Muar,Syed Saddiq Syed Abdul Rahman,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P147,Johor,Parit Sulong,Noraini Ahmad,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P148,Johor,Ayer Hitam,Wee Ka Siong,BN,MCA,,BN,MCA,,BN,MCA,,BN,MCA,,BN,MCA,,BN,MCA,,BN,MCA,,BN,MCA,
P149,Johor,Sri Gading,Sharuddin Md Salleh,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P150,Johor,Batu Pahat,Mohd Rashid Hasnon,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P151,Johor,Simpang Renggam,Mazlee Malik,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P152,Johor,Kluang,Wong Shu Qi,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P153,Johor,Sembrong,Hishammuddin Hussein,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P154,Johor,Mersing,Abd Latiff Ahmad,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,14/12/2018
P155,Johor,Tenggara,Adham Baba,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P156,Johor,Kota Tinggi,Halimah Mohd Sadique,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P157,Johor,Pengerang,Azalina Othman Said,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P158,Johor,Tebrau,Choong Shiau Yoon,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P159,Johor,Pasir Gudang,Hassan Abdul Karim,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P160,Johor,Johor Bahru,Akmal Nasrullah Mohd Nasir,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P161,Johor,Pulai,Salahuddin Ayub,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P162,Johor,Iskandar Puteri,Lim Kit Siang,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P163,Johor,Kulai,Teo Nie Ching,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P164,Johor,Pontian,Ahmad Maslan,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P165,Johor,Tanjung Piai,Md Farid Md Rafik,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P166,W.P. Labuan,Labuan,Rozman Isli,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Warisan,Warisan,26/10/2018,Warisan,Warisan,,Warisan,Warisan,
P167,Sabah,Kudat,Abdul Rahim Bakri,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,12/12/2018
P168,Sabah,Kota Marudu,Maximus Ongkili,BN,PBS,,BN,PBS,,BN,PBS,,BN,PBS,,BN,PBS,,GBS,PBS,25/10/2018,GBS,PBS,,GBS,PBS,
P169,Sabah,Kota Belud,Isnaraissah Munirah Majilis,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P170,Sabah,Tuaran,Wilfred Madius Tangau,Upko,Upko,,Upko,Upko,,Upko,Upko,,Upko,Upko,,Upko,Upko,,Upko,Upko,,Upko,Upko,,Upko,Upko,
P171,Sabah,Sepanggar,Mohd Azis Jamman,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P172,Sabah,Kota Kinabalu,Chan Foong Hin,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P173,Sabah,Putatan,Awang Husaini Sahari,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P174,Sabah,Penampang,Darell Leiking,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P175,Sabah,Papar,Ahmad Hassan,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P176,Sabah,Kimanis,Anifah Aman ,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,19/09/2018,Independent,Independent,,Independent,Independent,,Independent,Independent,
P177,Sabah,Beaufort,Azizah Mohd Dun,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,12/12/2018
P178,Sabah,Sipitang,Yamani Hafez Musa,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P179,Sabah,Ranau,Jonathan Yasin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P180,Sabah,Keningau,Jeffrey Kitingan,STAR,STAR,,STAR,STAR,,STAR,STAR,,STAR,STAR,,STAR,STAR,,GBS,STAR,25/10/2018,GBS,STAR,,GBS,STAR,
P181,Sabah,Tenom,Noorita Sual,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P182,Sabah,Pensiangan,Arthur Joseph Kurup,BN,PBRS,,BN,PBRS,,BN,PBRS,,BN,PBRS,,BN,PBRS,,GBS,PBRS,25/10/2018,GBS,PBRS,,GBS,PBRS,
P183,Sabah,Beluran,Ronald Kiandee,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,12/12/2018
P184,Sabah,Libaran,Zakaria Mohd Edris,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,Independent,Independent,12/12/2018
P185,Sabah,Batu Sapi,Liew Vui Keong,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P186,Sabah,Sandakan,Wong Tien Fatt,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P187,Sabah,Kinabatangan,Bung Moktar Radin,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P188,Sabah,Silam,Mohamaddin Ketapi,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P189,Sabah,Semporna,Mohd Shafie Apdal,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P190,Sabah,Tawau,Liew Chin Jin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P191,Sabah,Kalabakan,Ma'Mun Sulaiman,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,,Warisan,Warisan,
P192,Sarawak,Mas Gading,Mordi Bimol,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P193,Sarawak,Santubong,Wan Junaidi Tuanku Jaafar,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P194,Sarawak,Petra Jaya,Fadillah Yusof,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P195,Sarawak,Bandar Kuching,Kelvin Yii Lee Wuen,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P196,Sarawak,Stampin,Chong Chieng Jen,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P197,Sarawak,Kota Samarahan,Rubiah Wang,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P198,Sarawak,Puncak Borneo,Willie Mongin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P199,Sarawak,Serian,Richard Riot Jaem,BN,SUPP,,GPS,SUPP,12/06/2018,GPS,SUPP,,GPS,SUPP,,GPS,SUPP,,GPS,SUPP,,GPS,SUPP,,GPS,SUPP,
P200,Sarawak,Batang Sadong,Nancy Shukri,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P201,Sarawak,Batang Lupar,Rohani Karim,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P202,Sarawak,Sri Aman,Masir Kujat,BN,PRS,,GPS,PRS,12/06/2018,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,
P203,Sarawak,Lubok Antu,Jugah AK Muyang,Independent,Independent,,Harapan,PKR,12/05/2018,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P204,Sarawak,Betong,Robert Lawson Chuat,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P205,Sarawak,Saratok,Ali Biju ,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P206,Sarawak,Tanjong Manis,Yusuf Abd Wahab,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P207,Sarawak,Igan,Ahmad Johnie Zawawi,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P208,Sarawak,Sarikei,Wong Ling Biu,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P209,Sarawak,Julau,Larry Sng Wei Shien,Independent,Independent,,Harapan,PKR,12/05/2018,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P210,Sarawak,Kanowit,Ago Dagang,BN,PRS,,GPS,PRS,12/06/2018,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,
P211,Sarawak,Lanang,Alice Lau Kiong Yieng,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P212,Sarawak,Sibu,Oscar Ling Chai Yew,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P213,Sarawak,Mukah,Hanifah Hajar Taib,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P214,Sarawak,Selangau,Baru Bian,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P215,Sarawak,Kapit,Alexander Nanta Linggi,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P216,Sarawak,Hulu Rajang,Ugak Kumbong,BN,PRS,,GPS,PRS,12/06/2018,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,,GPS,PRS,
P217,Sarawak,Bintulu,Tiong King Sing,BN,PDP,,GPS,PDP,12/06/2018,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,
P218,Sarawak,Sibuti,Lukanisman Awang Sauni,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P219,Sarawak,Miri,Michael Teo Yu Keng,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P220,Sarawak,Baram,Anyi Ngau,BN,PDP,,GPS,PDP,12/06/2018,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,,GPS,PDP,
P221,Sarawak,Limbang,Hasbi Habibollah,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
P222,Sarawak,Lawas,Henry Sum Agong,BN,PBB,,GPS,PBB,12/06/2018,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,,GPS,PBB,
